"filename", "language", "JavaScript", "Ignore", "JSON", "Markdown", "HTML", "Docker", "YAML", "comment", "blank", "total"
"c:\my-projects\Car-Showroom-backend\.dockerignore", "Ignore", 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\my-projects\Car-Showroom-backend\Controllers\appointmentController.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 0, 9, 138
"c:\my-projects\Car-Showroom-backend\Controllers\carController.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 9, 134
"c:\my-projects\Car-Showroom-backend\Controllers\invoiceController.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\my-projects\Car-Showroom-backend\Controllers\paymentController.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\my-projects\Car-Showroom-backend\Controllers\userController.js", "JavaScript", 355, 0, 0, 0, 0, 0, 0, 20, 44, 419
"c:\my-projects\Car-Showroom-backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 21, 0, 2, 15, 38
"c:\my-projects\Car-Showroom-backend\Model\appointment.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\my-projects\Car-Showroom-backend\Model\bookedCars.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\my-projects\Car-Showroom-backend\Model\car.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 6, 114
"c:\my-projects\Car-Showroom-backend\Model\invoice.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\my-projects\Car-Showroom-backend\Model\payment.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\my-projects\Car-Showroom-backend\Model\user.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 5, 70
"c:\my-projects\Car-Showroom-backend\README.md", "Markdown", 0, 0, 0, 39, 0, 0, 0, 0, 20, 59
"c:\my-projects\Car-Showroom-backend\Routes\appointment.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 11, 24
"c:\my-projects\Car-Showroom-backend\Routes\car.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 10, 22
"c:\my-projects\Car-Showroom-backend\Routes\invoice.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"c:\my-projects\Car-Showroom-backend\Routes\payment.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 6, 14
"c:\my-projects\Car-Showroom-backend\Routes\user.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 9, 34
